CompanyName,MatchingName,SimilarityScore
ARC RESOURCES,ARC RESOURCES LTD,0.8666666666666667
ARCELORMITTAL A,ARCELORMITTAL SA,0.967741935483871
ARCH CAPITAL GROUP,ARCH CAPITAL GROUP LTD.,0.8780487804878049
ARCHER-DANIELS-MIDLAND,ARCHER DANIELS MIDLAND CO,0.851063829787234
ARES MANAGEMENT CORP,ARES MANAGEMENT CORPORATION,0.851063829787234
ARGEN X,ARGENX SE,0.75
ARISTA NETWORKS,ARISTA NETWORKS INC,0.8823529411764706
ARISTOCRAT LEISURE,ARISTOCRAT LEISURE LIMITED,0.8181818181818182
ARKEMA,ARKEMA SA,0.8
AROUNDTOWN,AROUNDTOWN SA,0.8695652173913043
ARROW ELECTRONICS,"ARROW ELECTRONICS, INC.",0.85
ASAHI GROUP HOLDINGS,ASAHI GROUP HOLDINGS LTD,0.9090909090909091
ASAHI INTECC CO,"ASAHI INTECC CO.,LTD.",0.8333333333333334
ASAHI KASEI CORP,ASAHI KASEI CORP,1.0
ASHTEAD GROUP,ASHTEAD GROUP PLC,0.8666666666666667
ASM INTERNATIONAL,ASM INTERNATIONAL NV,0.918918918918919
ASML HLDG,ASML HOLDING NV,0.75
ASPEN TECHNOLOGY,"ASPEN TECHNOLOGY, INC.",0.8421052631578947
ASSA ABLOY B,ASSA ABLOY AB,0.96
ASSICURAZIONI GENERALI,ASSICURAZIONI GENERALI SPA,0.9166666666666666
ASSOCIATED BRITISH FOODS,ASSOCIATED BRITISH FOODS PLC,0.9230769230769231
ASSURANT,"ASSURANT, INC.",0.7272727272727273
ASTELLAS PHARMA,ASTELLAS PHARMA INC,0.8823529411764706
ASTRAZENECA,ASTRAZENECA PLC,0.8461538461538461
ASX,AXA,0.6666666666666666
AT&T,AT&T INC.,0.6153846153846154
ATLAS COPCO A,ATLAS COPCO AB,0.9629629629629629
ATLAS COPCO B,ATLAS COPCO AB,0.9629629629629629
ATLASSIAN (US),ATLANTIA SPA,0.6153846153846154
ATMOS ENERGY CORP,ALAMO ENERGY CORP.,0.8571428571428571
AUCKLAND INTL AIRPORT,AUCKLAND INTERNATIONAL AIRPORT LIMITED,0.711864406779661
AURIZON HOLDINGS,AURIZON HOLDINGS LTD,0.8888888888888888
AUTO TRADER GROUP,AUTO TRADER GROUP PLC,0.8947368421052632
AUTODESK,"AUTODESK, INC.",0.7272727272727273
AUTOMATIC DATA PROCESS,AUTOMATIC DATA PROCESSING,0.9361702127659575
AUTOZONE,"AUTOZONE, INC.",0.7272727272727273
AVALONBAY COMMUNITIES,AVALONBAY COMMUNITIES INC,0.9130434782608695
AVANTOR,"AVANTOR, INC.",0.7
AVERY DENNISON CORP,AVERY DENNISON CORP,1.0
AVIVA,AVIVA PLC,0.7142857142857143
AXA,AXA,1.0
AXON ENTERPRISE,AXON ENTERPRISE INC,0.8823529411764706
AZBIL CORP,AZBIL CORP,1.0
AZRIELI GROUP,AZRIELI GROUP LTD,0.8666666666666667
BACHEM HOLDING B,BACHEM HOLDING AG,0.9090909090909091
BAE SYSTEMS,BAE SYSTEMS PLC,0.8461538461538461
BAKER HUGHES CO,BAKER HUGHES COMPANY,0.8571428571428571
BALL CORP,BRADY CORP,0.7368421052631579
BALOISE HOLDING,BALOISE HOLDING AG,0.9090909090909091
BANCO SANTANDER,BANCO SANTANDER SA,0.9090909090909091
BANDAI NAMCO HOLDINGS,BANDAI NAMCO HOLDINGS INC,0.9130434782608695
BANK HAPOALIM,BANK HAPOALIM B.M.,0.8387096774193549
BANK LEUMI LE-ISRAEL,BANK LEUMI LE ISRAEL BM,0.8837209302325582
BANK MONTREAL,BANK OF MONTREAL,0.896551724137931
BANK NEW YORK MELLON,BANK OF NEW YORK MELLON CORP,0.8333333333333334
BANK NOVA SCOTIA,BANK OF NOVA SCOTIA,0.9142857142857143
BANK OF AMERICA CORP,BANK OF AMERICA CORP,1.0
BANK OF IRELAND GROUP,BANK OF IRELAND GROUP PLC,0.9130434782608695
BANQUE CANTONALE VAUDOIS,BANQUE CANTONALE VAUDOISE,0.9795918367346939
BARCLAYS,BARCLAYS PLC,0.8
BARRATT DEVELOPMENTS,BARRATT DEVELOPMENTS PLC,0.9090909090909091
BARRICK GOLD CORP,BARRICK GOLD CORP,1.0
BARRY CALLEBAUT,BARRY CALLEBAUT AG,0.9090909090909091
BASF,BASF SE,0.7272727272727273
BATH & BODY WORKS,BED BATH & BEYOND INC.,0.5641025641025641
